compound,spacegroup_relax,Pearson_symbol_relax,Egap,Egap_type,volume_atom,density,volume_cell,agl_debye,agl_acoustic_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_heat_capacity_Cv_300K,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,agl_bulk_modulus_isothermal_300K,agl_bulk_modulus_static_300K,natoms,nspecies,energy_atom,enthalpy_formation_atom
Ag1P1Pd5,123,tP7,0.0,metal,15.5174,10.2554,108.622,259.916,135.917,2.61026,21.1103,20.2667,1.64219,5.22873e-05,127.101,132.391,7,3,-3.05185,
Ag1P1Pt5,123,tP7,0.0,metal,15.628,16.9141,109.396,216.026,112.916,2.59192,21.0794,20.4849,1.58553,3.6829e-05,181.75,187.025,7,3,-3.62914,
Ag1Pt3,221,cP4,0.0,metal,15.709,18.3173,62.8359,221.929,139.851,2.85082,12.1378,11.693,2.22655,4.37839e-05,166.167,172.487,4,2,-2.76315,
Ag1Pt5Si1,123,tP7,0.0,metal,15.7067,16.7856,109.947,233.021,121.803,2.53198,20.9641,20.3975,2.09432,3.61917e-05,177.72,182.657,7,3,-3.71956,
Ag1Sc1,221,cP2,0.0,metal,21.0625,6.02423,42.1249,264.006,209.537,2.18897,6.03363,5.7853,5.1347,6.41752e-05,63.6721,66.4052,2,2,-2.96798,
Ag1Tb1,221,cP2,0.0,metal,24.4975,9.04216,48.9951,183.068,145.247,2.01333,6.11901,5.89534,3.76095,6.16485e-05,53.4813,55.5104,2,2,-2.73052,
Ag1Ti2,139,tI6,0.0,metal,18.1696,6.20448,54.5089,362.041,250.997,2.06575,8.62002,8.39133,9.66728,4.36e-05,99.2466,101.951,3,2,-3.3403,
Ag1Y1,221,cP2,0.0,metal,24.3936,6.69747,48.7873,251.979,200.013,2.11728,6.0466,5.8037,6.48975,6.45023e-05,53.2469,55.4754,2,2,-3.66323,
Ag1Yb1,221,cP2,0.0,metal,27.0346,8.62709,54.0692,112.038,88.8945,2.20855,6.4631,5.96354,0.763001,0.000126646,25.633,27.7802,2,2,-1.02833,
Ag1Zn1,221,cP2,0.0,metal,15.8696,9.06404,31.7392,179.097,142.072,2.68202,6.48983,5.90623,1.06593,0.000117047,58.7337,64.5372,2,2,-0.456406,
Ag1Zr2,139,tI6,0.0,metal,21.5623,7.45234,64.6869,258.016,178.887,1.9271,8.88198,8.68414,6.13645,3.89456e-05,90.8162,92.8851,3,2,-5.86978,
Ag2,194,hP2,0.0,metal,17.8894,10.0126,35.7788,180.95,143.66,2.78791,6.49135,5.90536,1.31896,0.00011404,54.4802,59.8863,2,1,-0.421251,
Ag2Al1Sc1,225,cF16,0.0,metal,18.3877,6.49473,73.551,231.045,145.521,2.30859,12.2427,11.6729,1.73563,6.8875e-05,72.4873,76.0256,4,3,-2.64246,
Ag2Al2O4,194,hP8,1.6901,insulator-indirect,11.4261,6.06196,91.409,426.115,213.0,2.11131,22.4643,21.7923,4.10466,4.83282e-05,142.089,146.471,8,3,-5.50833,-1.4
Ag2Al2Se4,122,tI16,1.5646,insulator-direct,25.5295,4.76072,204.236,220.986,110.5,2.12951,24.4858,23.399,1.29014,7.12675e-05,46.9109,49.0898,8,3,-3.47198,
Ag2Al2Te4,122,tI16,1.3626,insulator-direct,31.6602,5.11441,253.282,180.965,90.5,2.20232,24.8328,23.5966,0.943954,7.76934e-05,36.0103,37.8968,8,3,-3.01758,
Ag2As2Ba2,194,hP6,0.0393,insulator-direct,28.6114,6.193,171.669,225.893,124.373,2.22618,18.5045,17.5341,2.30341,8.11152e-05,38.1864,40.2999,6,3,-3.12523,
Ag2As2Sr2,194,hP6,0.0,metal,25.46,5.87885,152.76,253.059,139.231,2.1829,18.312,17.4123,2.74048,7.7588e-05,43.5453,45.7954,6,3,-3.04371,
Ag2Au2F8,140,tI24,2.1831,insulator-indirect,15.7999,6.67071,189.599,255.029,111.382,2.41919,37.2266,34.8287,0.848277,9.21748e-05,66.2987,70.8633,12,3,-2.76778,
Ag2Ba1Sn2,139,tI10,0.0,metal,28.4658,6.88868,142.329,184.943,108.189,2.4069,15.7755,14.7421,1.33135,9.47521e-05,35.8086,38.3187,5,3,-2.41629,
Ag2Ba2P2,194,hP6,0.4031,insulator-indirect,26.892,5.6844,161.352,252.074,138.681,2.2204,18.3302,17.4176,2.71071,7.71378e-05,42.4804,44.7063,6,3,-3.30588,
Ag2Be4,227,cF24,0.0,metal,11.0694,6.29514,66.4162,515.163,283.415,2.06736,16.282,15.6556,9.18372,6.40434e-05,103.142,107.269,6,2,-2.52087,
Ag2Bi2Ca2,186,hP6,0.0,metal,27.5338,7.17536,165.203,186.1,102.36,2.15057,18.6623,17.6828,1.52037,8.41085e-05,37.4196,39.4923,6,3,-2.73314,
Ag2Bi2Ca2,194,hP6,0.0,metal,27.753,7.11869,166.518,183.976,101.259,2.17597,18.6882,17.6906,1.44134,8.45811e-05,37.1688,39.2648,6,3,-2.69829,
Ag2Bi2K4,20,oS16,0.6643,insulator-indirect,36.9005,4.4443,295.204,144.84,72.5,2.20477,26.4936,23.7621,0.517687,0.000166348,14.483,16.1479,8,3,-2.02521,
Ag2Bi2Yb2,186,hP6,0.0,metal,27.5992,9.82491,165.595,157.998,86.9508,2.18356,18.8078,17.7721,1.2386,8.69468e-05,36.8619,39.0099,6,3,-2.40893,
Ag2Br2,11,mP4,1.5679,insulator-indirect,24.7148,6.30803,98.8591,141.036,88.8244,2.53228,13.3297,11.8878,0.46751,0.000151965,27.1793,30.4758,4,2,-1.57874,
Ag2Br2,11,mP4,1.5579,insulator-indirect,24.8182,6.28176,99.2726,141.96,89.4544,2.53596,13.3219,11.8869,0.475994,0.000151096,27.369,30.6729,4,2,-1.57888,
Ag2Br4Cs2,63,oS16,2.6038,insulator-indirect,35.5743,4.67459,284.595,125.088,62.5,2.42238,27.6339,23.8304,0.270806,0.000205836,13.5813,15.749,8,3,-2.32864,
Ag2Ca1Ge2,139,tI10,0.0,metal,21.2246,6.27451,106.123,238.155,139.183,2.40893,15.5621,14.5755,1.74161,9.14582e-05,49.4345,52.7805,5,3,-2.6456,
Ag2Ca2,63,oS8,0.0,metal,27.7645,4.42425,111.058,182.959,115.283,2.03814,12.5826,11.7983,1.334,0.00010513,28.1902,30.064,4,2,-1.49492,
Ag2Cl2,11,mP4,1.9623,insulator-indirect,22.1499,5.37227,88.5997,157.138,98.9038,2.48691,13.2723,11.8599,0.491672,0.000152177,30.0583,33.638,4,2,-1.81293,
Ag2Cl2,11,mP4,1.9594,insulator-indirect,22.2172,5.356,88.8688,160.092,100.794,2.48295,13.2643,11.8552,0.522228,0.000151951,30.0733,33.6476,4,2,-1.8134,
Ag2Co2O4,194,hP8,1.8904,insulator-indirect,11.3733,7.25634,90.9868,374.916,187.5,2.22975,23.0311,22.2739,2.95475,5.04085e-05,148.318,153.361,8,3,-4.36026,
Ag2Cr4Te8,227,cF56,0.0,metal,28.4713,6.0178,398.598,100.987,41.9062,2.28349,44.2246,41.7829,0.10648,8.24995e-05,40.0971,42.4403,14,3,-4.21728,
Ag2Dy1,139,tI6,0.0,metal,21.6825,9.65565,65.0476,181.101,125.498,2.30257,9.31707,8.84876,1.88626,7.48534e-05,56.6952,59.6957,3,2,-2.01478,
Ag2Dy1In1,225,cF16,0.0,metal,21.326,9.5979,85.304,166.887,105.203,2.40831,12.4898,11.8288,1.07687,7.53307e-05,60.5006,63.8811,4,3,-2.31498,
Ag2Dy2Pb2,186,hP6,0.0,metal,25.1697,10.5023,151.018,198.06,108.964,2.33073,18.4953,17.6384,2.00414,6.8012e-05,54.6217,57.2752,6,3,-3.27484,
